"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"3683","POLR3C","ENSP00000334564.3",0.053256008547532,0.0238698832691158,0.731547795430273,0.466070168171424,0.555672201625571,-6.77175950227021,"up"
"3684","PDZD8","ENSP00000334642.5",-0.450852180088096,-0.00489675806228756,-3.98488824376845,0.000124716035225868,0.00043595852269679,0.365413747908091,"down"
"3685","USP16","ENSP00000334808.4",-0.0642821375078718,0.0173589491177424,-0.886623781074019,0.377302751986131,0.467154204393404,-6.6468421140764,"down"
"3686","BMP2K","ENSP00000334836.5",0.126172400424599,0.00238347483841933,1.9846261194883,0.0497885010171659,0.0842686587771273,-5.10235635594421,"up"
"3687","MT1F","ENSP00000334872.6",0.32520033230006,-0.142706779185488,1.28186162843798,0.20270906625194,0.279448927047317,-6.22242894072533,"up"
"3688","PTPRU","ENSP00000334941.5",-0.152116876271994,-0.124072562206156,-1.09591075088422,0.275620332036112,0.360161242252358,-6.44094685841566,"down"
"3689","PKM","ENSP00000334983.5",0.455736091788487,-0.296667353682141,4.37458847417194,2.87285708928085e-05,0.000118122832805873,1.76283490600851,"up"
"3690","RASA3","ENSP00000335029.7",-0.640986316996955,-0.0306431050310523,-3.73945081142802,0.000300469885100311,0.000954460198605426,-0.465392961617256,"down"
"3691","C2orf76","ENSP00000335041.7",0.301824168900522,-0.203362524032047,2.29049299783422,0.0239872164330391,0.0445536837159597,-4.47491513358349,"up"
"3692","ARID2","ENSP00000335044.6",0.0887888844604292,-0.0280899034244782,1.32056544409083,0.189510448919267,0.264227681516377,-6.17277739605323,"up"
"3693","WASF3","ENSP00000335055.5",-0.295807063771367,-0.42914808188872,-1.97059313248709,0.0513979724520318,0.0865741434120212,-5.12916608062288,"down"
"3694","FAM91A1","ENSP00000335082.7",0.302772644644299,0.105876235042662,4.92637332209138,3.12730859548265e-06,1.58203561911271e-05,3.8916015368586,"up"
"3695","PPP1CC","ENSP00000335084.5",0.300859146348288,0.212757280749955,3.339646044635,0.00116127081504096,0.00313927581536327,-1.73079069368183,"up"
"3696","KATNA1","ENSP00000335106.5",-0.0748827548271173,-0.04285211735348,-0.725052574260296,0.470029453611522,0.55924109659103,-6.77647399234398,"down"
"3697","ATP5IF1","ENSP00000335203.5",0.33133007002085,-0.424122982033012,2.06235015186275,0.0416381546879237,0.0722991840805306,-4.95074314937708,"up"
